# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	239737
#@/user_id	0278165e-67a8-4678-b168-f946133cb532
bao xian mo 	保鮮膜	c=3 d=7.93106e-68 t=239737
bao xiao 	報銷	c=50 d=1.93664e-70 t=239737
bao xiu 	保修	c=18 d=1.34383e-83 t=239737
bao xiu qi 	保修期	c=1 d=0 t=239737
bao yan 	保研	c=1 d=6.82422e-35 t=239737
bao yi bao 	包一包	c=1 d=1.00962e-230 t=239737
bao you 	包郵	c=10 d=2.51562e-59 t=239737
bao yu 	鮑魚	c=1 d=0 t=239737
bao yuan lu 	寶源路	c=2 d=0 t=239737
bao yun 	包運	c=17 d=1.69075e-06 t=239737
bao zai fan 	煲仔飯	c=1 d=2.70558e-180 t=239737
bao zhang 	保障	c=2 d=8.83435e-131 t=239737
bao zhang 	暴漲	c=1 d=3.81156e-212 t=239737
bao zhe 	抱着	c=1 d=0 t=239737
bao zheng 	保證	c=91 d=7.8228e-24 t=239737
bao zheng bao liang 	保證保量	c=1 d=9.04267e-258 t=239737
bao zheng jin 	保證金	c=1 d=8.25781e-43 t=239737
bao zhi 	報紙	c=1 d=3.54407e-62 t=239737
bao zhi bao liang 	保質保量	c=1 d=8.1548e-13 t=239737
bao zhi qi 	保質期	c=1 d=0 t=239737
bao zhuang 	包裝	c=17 d=4.00994e-15 t=239737
bao zhuang he 	包裝盒	c=1 d=4.32141e-189 t=239737
bao zhun 	保準	c=1 d=1.00485e-145 t=239737
bao zou 	暴走	c=1 d=0 t=239737
bei 	倍	c=31 d=0.00181838 t=239737
bei 	北	c=7 d=2.05027e-62 t=239737
bei 	唄	c=96 d=0.242842 t=239737
bei 	背	c=6 d=1.82839e-11 t=239737
bei 	被	c=232 d=0.128741 t=239737
bei 	貝	c=2 d=1.6615e-32 t=239737
bei an 	備案	c=16 d=4.76118e-112 t=239737
bei bao 	背包	c=1 d=0 t=239737
bei chui 	北陲	c=1 d=0 t=239737
bei cui 	悲催	c=12 d=3.87008e-156 t=239737
bei da 	北大	c=4 d=0 t=239737
bei dao er chi 	背道而馳	c=1 d=0 t=239737
bei dong 	被動	c=4 d=0 t=239737
bei er 	貝爾	c=2 d=0 t=239737
bei er jin 	貝爾金	c=3 d=0 t=239737
bei fang 	北方	c=2 d=1.10472e-54 t=239737
bei fen 	備份	c=35 d=3.47142e-83 t=239737
bei gao 	被搞	c=1 d=0 t=239737
bei guo 	背鍋	c=1 d=4.88931e-171 t=239737
bei hai 	北海	c=1 d=0 t=239737
bei hou 	背後	c=1 d=1.00529e-62 t=239737
bei jing 	北京	c=42 d=3.47767e-16 t=239737
bei jing 	背景	c=17 d=9.40945e-49 t=239737
bei ju 	悲劇	c=8 d=2.23396e-15 t=239737
